"Street Number Name Direction","Address - City","Address - ZIP","ML_Number","Status","APN","Selling Date","Pending Date","Listing Date","DOM","Listing Price","Selling Price","Selling_Price_Per_Sqft","Year Built","Square Footage","Bedrooms","Bathrooms","Lot Size - Sq Ft","Parking Desc","Pool Type","Solar Owned/Leased Display","RESICONA","Property Subtype","Patio","Stories","Marketing Remarks","Street Full Address","Disclosures Desc","Inactive Date","Owned Solar Type Display","Primary_Picture_Url","Elementary School Desc","Jr High School Desc","Sr High School Desc","School District Desc","Association"
"6216 Hawk Creek Dr","Bakersfield","93313","202301250","S","49867504","04/17/23","03/13/23","02/18/23","23","365000.00","355,000","213.60","2005","1662","3","2","4791","2 Car Garage","NONE","None","5000.00","SNGF","CVRD","1","Give Me Liberty! Give me Liberty from rent payments by way of your new home purchase in Liberty of Southwest Bakersfield. Follow your maps and come see this delightful community at the Northwest corner of Ashe Road and Panama Lane. You will appreciate the close location to the Silver Creek Community and Silver Creek Park. You will also appreciate the close location to Subaru Elementary School. Come see the NEW interior features this home offers Including fresh interior paint and new carpeting. The hard work floors in the kitchen living room and hallways are in great shape and they fit this home perfectly. A separate family room near the entry way make this an ideal floor plan for your new home. The master bedroom features an array of windows that allows loads of natural light to flow in. The kitchen is nicely designed and enjoys a wonderful, open feel. The kitchen also features an island counter top space complete with a bar dining option.  Get your own Liberty today; Stop By!","6216 Hawk Creek Dr, Bakersfield, CA 93313-9774","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/02/18/eb00f818-1e2c-4310-94fc-7904023cce02.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5513 Trails Way","Bakersfield","93313","202301621","S","49819112","04/04/23","03/03/23","02/27/23","4","353000.00","353,000","224.98","1993","1569","4","2","6534","2 Car Garage","NONE","None","0.00","SNGF","UNCV,SLAB","1","This home is a 3 bedroom plus an office in the Silver Creek Community! Updated kitchen with granite counter tops, updated blinds, newer windows, newer AC, newer sliding glass doors, and so much more. Multiple city parks nearby offers swimming, basketball, water parks, disc golf, and lots of outdoor activities. Walking distance to shopping. This home won't last long so schedule your showing today!","5513 Trails Way, Bakersfield, CA 93313-4327","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/02/27/a8c27c0d-edf1-4e1f-9c98-d76c474e4af5.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7106 Silver Spray Ave","Bakersfield","93313","202207839","S","49832124","08/10/22","07/16/22","07/12/22","4","325000.00","326,000","241.84","2003","1348","3","2","4356","2 Car Garage","COMM","None","0.00","SNGF","CVRD","1","Ready for immediate occupancy!  Super cute and clean 3-bedroom, 2-bath in Silver Creek. Brand new carpet and paint with indoor laundry and a covered patio off of the primary bedroom.  Home is close to community amenities as well as shopping and restaurants.  Perfect timing for that move-in ready dream home!","7106 Silver Spray Ave, Bakersfield, CA 93313-4526","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/07/12/b044959e-8e0e-4083-877b-751f4d76b71e.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7405 Shadow Wells St","Bakersfield","93313","202207929","S","49825320","08/24/22","07/27/22","07/13/22","14","300000.00","305,000","289.10","1993","1055","2","2","5662","2 Car Garage","COMM","None","5000.00","SNGF","CVRD,SLAB","1","Great location in the southwest near schools, shopping centers and restaurants.  Perfect first-time buyer home move in ready and well cared for. Open floor plan with good size rooms. Wood like flooring with neutral-colored walls. Good size yard with lots if protentional. Great community pool and park.","7405 Shadow Wells St, Bakersfield, CA 93313-4377","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/07/25/01688c11-f4b1-4b1b-b857-605ad418e84d.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7921 Cold Spray Ct","Bakersfield","93313","202207992","S","49805205","08/16/22","07/17/22","07/15/22","2","355000.00","355,000","239.54","1988","1482","3","2","5662","2 Car Garage","NONE","Owned","3000.00","SNGF","CVRD","1","Tastefully updated home in Southwest Bakersfield. This home features 3 bedrooms, 2 bathrooms, plus an office. Wood like tile floor throughout the home and recent updates to the bathrooms. Owned solar system included with the sale to offset high energy costs.  Great location near parks, schools, and within walking distance to Gosford Village.","7921 Cold Spray Ct, Bakersfield, CA 93313-4190","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/07/15/d96f29f5-3f60-4236-a4d6-b9538cb7803d.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6607 Flatrock Dr","Bakersfield","93313","202208215","S","49870306","10/14/22","10/11/22","07/21/22","7","339900.00","330,000","227.59","2005","1450","3","2","4356","2 Car Garage","NONE","Leased","0.00","SNGF","","1","This is your chance to own a wonderful home in the desirable Silver Creek area! This 3-bedroom, 2-bathroom home has all newer appliances that stay- AC is about 5 years old and has been freshly painted. The open concept layout is perfect for gatherings with family and friends, and the spacious yard provides plenty of room for outdoor activities. Plus, you'll appreciate being close to shopping! Don't miss out - come see this great home today!","6607 Flatrock Dr, Bakersfield, CA 93313-5907","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/10/04/b95033a1-4c5c-445f-a9c1-196549133515.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5024 Misty Breaks Dr","Bakersfield","93313","202208206","S","49825116","01/03/23","12/19/22","07/21/22","151","355000.00","337,500","170.37","1994","1981","4","3","4356","2 Car Garage","COMM,NONE","None","500.00","SNGF","CVRD","2","Huge Price Reduction! Take a look at this Patriot Village gem! Gorgeous 2 story nestled in the Silver Creek neighborhood. This home boasts new interior paint throughout; 4 bedrooms; 2.75 bathrooms; a formal living room; formal dining room; family room with a fireplace; and a beautiful kitchen with plenty of room for anyone who loves to cook. Make an appointment today to see this beauty!","5024 Misty Breaks Dr, Bakersfield, CA 93313-4362","HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/10/17/3ada0b42-f674-4b54-bf90-a870eb0128a1.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7909 Walnut Grove Ct","Bakersfield","93313","202208333","S","49804104","08/30/22","08/29/22","07/22/22","38","400000.00","400,000","234.88","1988","1703","3","2.50","6098","2 Car Garage","NONE","None","0.00","SNGF","","2","Southwest Bakersfield has become one of the areas most desirable places to live in part because it is centrally located and has great school's.  This home is located in the Silver Creek neighborhood is ready for even the pickiest buyers to come take a look. This home has everything you are looking for including 3 bedrooms 2.5 baths, with an extended living room. The recently updated and modernized home features a spacious kitchen with quartz countertops and a fresh look with extra storage, a breakfast bar, and lots of natural lighting. The master bedroom includes a full bathroom, double sinks and a generous sized walk in closet space. Way too many upgrades to list this home is what you have been looking for; come take a look.","7909 Walnut Grove Ct, Bakersfield, CA 93313-4138","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/07/23/1eab0a95-29f0-41d2-9dd9-735e1cbc3098.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7503 Stone Breakers Ave","Bakersfield","93313","202302953","S","49825209","05/26/23","04/21/23","04/14/23","7","339900.00","342,500","250.55","1993","1367","3","2","4791","2 Car Garage","COMM","None","2500.00","SNGF","","1","Welcome to your cozy and charming Southwest Bakersfield, CA home! This 3-bedroom, 2-bathroom gem is nestled in a family-friendly neighborhood, perfect for those seeking a comfortable and convenient lifestyle. As you enter the home, you'll be greeted by a bright and airy living room that's perfect for relaxing or entertaining guests. The kitchen is well-appointed with modern appliances and offers ample space for cooking and meal prep. Adjacent to the kitchen is a dining area, ideal for enjoying meals with family and friends. The master bedroom features an en-suite bathroom for added privacy, while the two additional bedrooms provide versatility for guests or a growing family. The backyard is a peaceful retreat, with a covered patio that's perfect for outdoor gatherings and a fenced yard for added privacy.Conveniently located near schools, parks, shopping, and dining options, this Southwest Bakersfield home offers comfort and convenience in a desirable location.","7503 Stone Breakers Ave, Bakersfield, CA 93313-4373","CC&Rs,HOA Fees,Probate","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/04/14/d07547ed-91f3-4fa3-b95b-73280510a172.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7904 Silver Birch Ave","Bakersfield","93313","202208343","S","49804116","08/29/22","08/02/22","07/24/22","9","315999.00","300,000","186.80","1989","1606","3","2","6098","2 Car Garage","NONE","None","0.00","SNGF","","1","Looking for a home to add your special touches? Than look no further. This 3-bedroom 2 bath home stands at a little over 1600 square feet and is located in a great neighborhood. Close to shopping and great schools. Home does need some work, so keep an open mind and let your ideas flow.","7904 Silver Birch Ave, Bakersfield, CA 93313-4142","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/07/25/5286bcb1-f065-4224-b2b1-07f5d9a00fec.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5616 Silver Crossing St","Bakersfield","93313","202208691","S","49805228","09/14/22","08/15/22","08/04/22","11","378000.00","365,000","219.61","1988","1662","4","2.50","10454","2 Car Garage","NONE","None","1100.00","SNGF","UNCV","2","Spacious Home with a Shop and RV Parking in Silver Creek!  Situated on approx 1/4 acre of land, this 4 bedroom, 2.5 bath home has a huge backyard that can accommodate a pool, garden or whatever you choose. The detached shop has a roll up door and plenty of room to drive a car or trailer to the shop.  Nice RV parking with white vinyl double RV gates and a concrete pad, plus white vinyl fencing on the sideyard, and block wall fencing across the back. This home features a versatile floor plan with the primary bedroom and bath on the first floor with his & hers closets.  Three additional bedrooms are on the second level with a full bath. The living room offers a cozy brick fireplace, nice size dining area, a large kitchen with plenty of cabinets and tile countertops, a breakfast bar, and a convenient indoor laundry room.  Plus there is a huge storage room built on the side of the house for all of your storage needs. Convenient Southwest location close to shopping, restaurants, and schools!","5616 Silver Crossing St, Bakersfield, CA 93313-4126","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/08/04/cfe0942f-2e0a-4701-b3d1-f42fc6720286.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6512 Quaking Aspen St","Bakersfield","93313","202208875","S","49814116","08/24/22","08/06/22","08/05/22","1","379900.00","385,000","241.23","1989","1596","3","2","6098","2 Car Garage","INGR","PPA","0.00","SNGF","UNCV","1","This is the one YOU have been waiting for! This spacious and well-located home in Silver Creek is perfect for anyone looking for a little extra room to breathe. The wood-like flooring throughout is easy to care for and creates a warm, inviting atmosphere in addition to the two living room areas and a breakfast nook. The brick fireplace is perfect for snuggling around on a cold winter night. The backyard is low maintenance with an opportunity to build a covered patio and the sparkling pool - perfect for entertaining guests and cooling off on those hot summer days. Do not miss out on the chance to own this darling home!","6512 Quaking Aspen St, Bakersfield, CA 93313-4179","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/08/05/25ebb10b-069a-4d4c-ad84-74190940f221.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5012 Rogue Water Ct","Bakersfield","93313","202303561","S","49832222","06/15/23","06/01/23","05/03/23","27","369000.00","369,000","306.99","1996","1202","3","2","6969","2 Car Garage","INGR","None","0.00","SNGF","","1","Lovely Southwest Heritage Series Home in Silver Creek. Home features an Open floor plan, new flooring throughout, a living room with a cozy fire place, a pleasant kitchen with granite counter tops 3 spacious bedrooms, 2 full bathrooms, Large yard plus a beautiful and sparking pool great for summer hosting. Area provides great schools, nearby shopping center, and amazing restaurants. This property is located in a private community that has a private pool, includes landscaping, security, private park, Association takes care of the front yards grass area including the water. Save this one to your favorites and view it today!!!","5012 Rogue Water Ct, Bakersfield, CA 93313-4516","HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/05/03/7318d2b2-cef7-4a88-9ece-965aa2f0514e.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7609 Golden Rise Ct","Bakersfield","93313","202209655","S","49818323","10/11/22","09/13/22","08/27/22","17","346000.00","353,000","253.59","1992","1392","3","2","6098","2 Car Garage","NONE","Leased","0.00","SNGF","CVRD","1","This Silver Creek home shows pride in ownership from first glance and beautiful curb appeal. Featuring 3 bedrooms and 2 baths, fresh paint and recently updated flooring. Vaulted ceilings, Indoor laundry, covered patio. The backyard has enough space for all your entertainment needs. Conveniently located near elementary school, restaurants, shopping, and Silver Creek Park. Do not hesitate, call us today for your private showing.","7609 Golden Rise Ct, Bakersfield, CA 93313-4303","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/08/27/fa0a9547-7be8-4174-a4ad-72ddca9f1de1.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6128 Alderpointe St","Bakersfield","93313","202303681","S","49809411","06/16/23","05/25/23","05/09/23","16","360000.00","352,000","219.18","1989","1606","3","2","6534","2 Car Garage","NONE","PPA","0.00","SNGF","CVRD","1","Charming Silver Creek at its best! This 3/2 beauty with ample-sized bedrooms is ready for new owners. It's nestled on a quiet, family-friendly street in an established neighborhood. Close to parks, great schools, shopping, and restaurants, this is one you don't want to miss.","6128 Alderpointe St, Bakersfield, CA 93313-4152","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/05/09/154b9319-e7ea-48c1-a8b4-f0c3ee874bc7.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"4747 Shadow Stone St","Bakersfield","93313","202304144","S","49835502","06/26/23","05/31/23","05/23/23","8","360000.00","370,000","226.44","1997","1634","3","2","6969","2 Car Garage","NONE","None","0.00","SNGF","CVRD","1","This Silver Creek stunner sits on a generous plot of land, with a well-maintained front yard that adds to its curb appeal. A driveway leads up to a two-car garage, providing ample parking space. The front entrance features a charming porch with space for outdoor seating, perfect for enjoying a morning coffee or greeting guests. Upon entering the home, you step into a welcoming entrance and leads you to an open-concept living area, creating a sense of spaciousness and a great flow throughout the house. The living area boasts stunning flooring adding a touch of elegance. Both living spaces offer spacious, accommodating comfortable seating arrangements and providing a cozy space for relaxation and entertainment. Enjoy 3 bedrooms, 2 bathrooms, and a gorgeous kitchen. The house boasts a generously sized landscaped backyard, perfect for outdoor activities and gatherings. Call this place home today.","4747 Shadow Stone St, Bakersfield, CA 93313-4557","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/05/24/205210b5-a6b8-42a0-b50d-3d7ae77c027d.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6608 Camphor Ct","Bakersfield","93313","202210164","S","49814203","12/12/22","11/01/22","09/09/22","50","359900.00","370,000","261.67","1988","1414","3","2","7405","2 Car Garage","INGR","PPA","15000.00","SNGF","UNCV","1","Located in Silver Creek!!   This home is close to dining, shopping, schools & parks. Home features 3 -bedroom 2-bath home, tile flooring, vaulted ceilings, open floor plan with fireplace, nice size bedrooms indoor laundry room with access to back yard pool and solar for all your comfortable family gatherings. Seller will be leaving Gazebo, table and chairs, plus all lounging chairs around pool.  Seller has painted interior and exterior of home.  Seller is leaving 2-storage units in back. Seller is wanting to do a 30 day escrow.","6608 Camphor Ct, Bakersfield, CA 93313-4185","Subject To:","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/11/01/315407b1-fc46-40bf-a17a-73a0f8c8617c.jpg","Other-Outlying","General Shafter","Independence","","MLS"
"7913 Cold Springs Ct","Bakersfield","93313","202210389","S","49805223","11/02/22","11/01/22","09/14/22","43","319900.00","320,000","275.86","1988","1160","3","2","6098","2 Car Garage","NONE","None","0.00","SNGF","UNCV","1","Silver Creek! Great neighborhood, great location in a quiet cul-de-sac, and great floorplan!! Upgraded tile flooring in the entry, living room, kitchen, dining room, hall, baths, and two bedrooms. Nice size living room with fireplace and vaulted ceilings. The yards have been re-seeded and new grass will be visible soon.","7913 Cold Springs Ct, Bakersfield, CA 93313-4117","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/09/16/4b9aaebc-0e87-4100-846f-b9b77f2bbdf2.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5717 Willowcrest St","Bakersfield","93313","202210603","S","49803208","11/03/22","10/03/22","09/23/22","10","389000.00","388,000","227.83","1988","1703","3","3","5662","2 Car Garage","NONE","None","7000.00","SNGF","CVRD","2","Freshly remodeled and move in ready in Silvercreek! This beautiful home offers 3 bedrooms, 2.5 baths, two living areas downstairs, an additional loft living space upstairs, a cozy fireplace, an indoor laundry room with large utility closet, and a spacious master bedroom with vaulted ceilings and a walk in closet. It features wood look tile flooring throughout the entire home, and has just been updated with new windows, fresh paint inside and out, quartz countertops with new sinks and faucets, freshly retiled marble look showers, and more. New stainless steel appliances included, to be installed at close of escrow. Schedule your showing today!","5717 Willowcrest St, Bakersfield, CA 93313-4146","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/09/23/1573dd00-2264-4424-97d1-c7e1b022b193.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6009 Indian Peaks Ave","Bakersfield","93313","202210732","S","49856107","02/13/23","02/13/23","09/28/22","138","375000.00","371,000","220.31","1999","1684","3","2","7405","2 Car Garage","NONE","None","3900.00","SNGF","","1","Stunning Silver Creek home in SouthWest Bakersfield!  3 bedrooms, 2 baths with almost 1700 sqft.  Turn key home ready to move in! Fresh paint, newer light fixtures, carpet and wood flooring throughout. Formal living and family rooms. Gorgeous kitchen with granite counter tops with plenty of cabinet & counter space.  Updated bathrooms with tile counter tops. Large master bedroom with walk-in closet. French doors leading to large back yard and indoor utility room.  Newer AC unit, security system, updated insulated garage door/opener and sprinkler system.","6009 Indian Peaks Ave, Bakersfield, CA 93313","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/01/17/e90309c2-d472-4d5a-bbe9-b728671dd448.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6702 Mountain Iron Dr","Bakersfield","93313","202305328","S","49850305","10/05/23","07/06/23","06/27/23","7","350000.00","360,000","244.07","2001","1475","4","2","6098","2 Car Garage","NONE","None","0.00","SNGF","CVRD","1","Silver Creek at its very finest! This 4 bedroom home is ready for a new owner. With all new interior paint throughout and newer kitchen countertops, this home is move-in ready! You will love this functional floor-plan with a large great-room open to the kitchen and a private primary/master bedroom. All bedrooms are very spacious with the primary bedroom having an attached bathroom plus walk-in closet! The private backyard is fully fenced with a large covered patio and possible RV area, perfect for your pets and/or gatherings with your family & friends. You will adore the Silver Creek neighborhood that is close to plenty of great shopping and restaurants, parks, and schools! Located in a very good public school district as well - this is the one you have been searching for! Come and see this one today before it is Sold!","6702 Mountain Iron Dr, Bakersfield, CA 93313-4934","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/06/27/40fed631-8940-4900-a9d6-48da7e8d2d30.jpg","Suburu, Donald","General Shafter","Independence","","MLS"
"6631 Rimridge Way","Bakersfield","93313","202211872","S","49869304","12/30/22","11/28/22","11/03/22","25","364900.00","365,000","195.50","2005","1867","4","2.50","4791","2 Car Garage","NONE","None","7300.00","SNGF","CVRD","2","Wonderful SW Home in Silver Creek Community. Located in desirable area near schools and shopping centers. This property features 4 bedrooms, 2.5 baths, 2 story, a lovely Master Suite upstairs, great room and dining area, breakfast bar,patio area. This property is in move in ready condition and will move very fast.","6631 Rimridge Way, Bakersfield, CA 93313-5909","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/11/03/49a77410-ccf2-4fc4-b56e-753b51d98c08.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5310 Clover Mountain St","Bakersfield","93313","202212321","S","49830307","01/27/23","01/23/23","11/14/22","41","339999.00","340,000","199.18","1994","1707","4","2","6098","2 Car Garage","NONE","None","5000.00","SNGF","CVRD","1","Great opportunity in the always desirable Silver Creek neighborhood! 4 bedroom 2 bath open floor plan with two living spaces and a fireplace. Kitchen with plenty of cabinets and long countertops. Great sized guest bedrooms, guest bathrooms plus indoor laundry. Large master suite features a private backyard entrance and master bath with dual sinks plus walk-in closet! The exterior boasts an XL covered patio plus a huge shaded side yard and enough yard for all of your pets. Don't miss out on this opportunity before it's too late! Call to schedule your private showing today. (Some pictures may have been digitally staged or enhanced)","5310 Clover Mountain St, Bakersfield, CA 93313-4507","Special Forms","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/01/20/626c8f54-6800-4293-a8e6-0e05a1ae89f3.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7415 Canyon Clover Dr","Bakersfield","93313","202212370","S","49819405","12/19/22","11/21/22","11/16/22","5","319900.00","330,000","210.33","1992","1569","3","1.75","5227","2 Car Garage","NONE","None","0.00","SNGF","CVRD,SLAB","1","Welcome to this SW Beauty, located in the desirable neighborhood of Silver Creek! This fantastic home offers 3 Bedrooms, 1.75 Baths, Plus an Office or possible 4th Bedroom! The kitchen has the perfect nook for your morning coffees! The Master Bedroom is spacious and includes an updated bathroom! This home also offers a Brand New A/C great for this Bakersfield weather and a perfect low maintenance backyard with covered patio! All located within walking distance to well manicured parks, schools, lots of shopping, and great restaurants!","7415 Canyon Clover Dr, Bakersfield, CA 93313-4313","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/11/16/1c707086-ed4b-4cbf-8a0b-9fadfd36334e.jpg","Suburu, Donald","Tevis","Independence","","MLS"
"7812 Coulter Pine Ct","Bakersfield","93313","202212530","S","49803304","03/20/23","02/02/23","11/23/22","71","374900.00","374,900","220.14","1989","1703","3","2.50","6969","2 Car Garage","SPA","PPA","0.00","SNGF","","2","- CUL-DE-SAC HOME with SOLAR!!! Check out this great 3 Bedroom and 2.5 Bathroom home located in desirable SW Bakersfield Silver Creek community.  This beautiful two-story home features 1,703 sq ft with 3 spacious bedrooms + an office loft and built-in cabinets.  Buyers will appreciate the floor plan that consists of a formal living and dining room, separate family room, adjoining kitchen with tile countertops, a breakfast area, and indoor laundry room. The primary bedroom and bathroom retreat features a walk-in shower and dual sinks.  This home site on a 6,969 sq ft lot located in a cul-de-sac that has been fully landscaped and includes a covered patio, built-in spa, and plenty of room to entertain. As if this all wasn't enough the home also comes with SOLAR and is close to shopping, schools, and 2 great neighborhood parks.","7812 Coulter Pine Ct, Bakersfield, CA 93313-4133","Subject To:","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/11/23/5442b84d-4158-4cb0-acb2-c5ac681b9e7b.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5225 Shadow Stone St","Bakersfield","93313","202212937","S","49818116","03/07/23","02/05/23","12/10/22","57","379950.00","380,000","201.16","1992","1889","4","2","6534","2 Car Garage","NONE","None","5000.00","SNGF","SLAB","1","Very clean 4 bedroom plus office or person cave in the Silver Creek community! This home has easy-care hardwood look tile flooring for you, and it also offers a fully fenced yard, front and back for the safety and privacy of your loved ones and pets. Big roomy kitchen, neutral colors and absolutely storage galore, both inside and out!! Updated HVAC system is equipped with energy efficient zone options. Fantastic city park nearby offers swimming, basketball, and oodles of outdoor activities. Walk to shopping! This is the home you've waiting for - book your appointment today and start living the good life now!","5225 Shadow Stone St, Bakersfield, CA 93313-4323","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/01/31/7e00a741-7ecc-4d25-9b91-d6a9449f557f.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6918 Water Wheel Dr","Bakersfield","93313","202213058","S","49832136","02/08/23","01/08/23","12/13/22","26","315000.00","315,000","233.68","2003","1348","3","2","4356","2 Car Garage","COMM","None","0.00","COND","","1","Charming home located in the Silver Creek area. This home features 3 bedrooms, 2 bathrooms and has recently upgraded tile wood flooring throughout entire house. This home is also ideally located near Gosford Shopping Village convenient for shopping and dining.","6918 Water Wheel Dr, Bakersfield, CA 93313-4523","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/12/15/0759f26c-15a6-4bb4-b04c-0b5277708dd5.jpg","Suburu, Donald","General Shafter","Independence","","MLS"
"7015 Silver Spray Ave","Bakersfield","93313","202305739","S","5006","08/21/23","07/25/23","07/11/23","14","349900.00","350,000","259.45","2002","1349","3","2","4356","2 Car Garage","COMM","Owned","3000.00","SNGF","","1","Immaculate home, featuring 3-bedroom,2 bath in Silver Creek! With a welcoming entryway with a living & dining room. Efficient kitchen design featuring beautiful granite counter tops and stainless-steel appliances. Indoor laundry, spacious 2 car garage and a backyard that is perfect for the kids and family. Community Park with swimming pool right around the corner.","7015 Silver Spray Ave, Bakersfield, CA 93313","HOA Fees,None of the Above","","Paid Off In Escrow","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/07/11/d1e4343f-8e4c-4ab4-a2c3-35d51aa50848.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6700 Tenstrike Dr","Bakersfield","93313","202301149","S","49848201","02/24/23","02/15/23","02/09/23","6","379999.00","375,000","222.16","1998","1688","4","2","6534","3 Car Garage","NONE","None","0.00","SNGF","CVRD","1","Beautiful home located in the Silver Creek neighborhood!! This very well maintained home features 3 bedrooms, 2 bathrooms and an OFFICE room. Located on a corner lot with a 3 car garage! Gorgeous high ceilings, tile flooring and an indoor laundry room. Also has a backyard Oasis! Features newer JACUZZI, Patio covered and very low maintenance. Schedule a showing with your favorite agent today before it's gone!","6700 Tenstrike Dr, Bakersfield, CA 93313-4910","CC&Rs","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/02/09/bf3956d6-2935-44dc-9ea9-864887732d6c.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5612 Greenhorn Mountain Ct","Bakersfield","93313","202305985","S","49828315","09/28/23","08/30/23","07/18/23","28","410000.00","410,000","166.53","1995","2462","3","3","7405","3 Car Garage","NONE","None","8561.66","SNGF","CVRD","2","Welcome to this charming 2-story home in Silver Creek! Upon entry, you'll be greeted by the family room with large open windows and tile floors throughout the first floor add an elegant touch. The dining room flows into the living room, creating an ideal space for entertaining guests. The office boasts built-in bookshelves/cabinets. The great room features a cozy fireplace and additional built-in bookshelves. The great room connects to the kitchen and breakfast nook, allowing for effortless interaction while cooking and enjoying meals. The kitchen offers white tile countertops, white appliances and a built-in range. Upstairs, the primary bedroom showcases laminated wood floors and dual closets with a sliding door leading to a balcony, offering views of the backyard. The ensuite bath boasts dual sinks, a walk-in shower, and a separate tub. 2 additional beds and a full bath with dual sinks complete the top floor. The charming garden area beckons to those with a green thumb. Call today!","5612 Greenhorn Mountain Ct, Bakersfield, CA 93313-4396","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/08/28/0800cc83-d83f-493d-9ef5-60e6da941a52.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7012 Silver Spray Ave","Bakersfield","93313","202301409","S","49832126","04/10/23","03/16/23","02/18/23","26","345999.00","345,000","229.69","2002","1502","4","2","4356","2 Car Garage","COMM","None","0.00","SNGF","UNCV","1","**Heritage Series beautiful home located in Silver Creek neighborhood with a beautiful sparkling blue community pool, playground and clubhouse. This split wing home is in move in condition. new  ceiling fans and new flooring throughout. Gas fire place in the great room nice big Master bedroom, DBL sinks in master bath, indoor utility room with gas connection, great location, close to parks, shopping and the freeway!","7012 Silver Spray Ave, Bakersfield, CA 93313-4526","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/02/18/10df6581-142f-4755-a222-d4936a2503a3.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
